x,y,beta, gamma, rx, ry
0,0,0.009, 0.0006, 0.0066, 0.0095
0,1,0.0045, 0.0095, 0.0011, 0.0041
0,2,0.0072, 0.0053, 0.0091, 0.0091
0,3,0.0097, 0.0041, 0.0074, 0.0008
0,4,0.0056, 0.0071, 0.0088, 0.0048
0,5,0.0082, 0.0072, 0.0017, 0.001
0,6,0.0058, 0.0068, 0.0062, 0.0042
0,7,0.0022, 0.0026, 0.0056, 0.0013
0,8,0.003, 0.0023, 0.0007, 0.0075
0,9,0.0019, 0.0017, 0.0018, 0.0092
1,0,0.007, 0.001, 0.0082, 0.0066
1,1,0.0049, 0.0056, 0.0075, 0.0006
1,2,0.0026, 0.0062, 0.0055, 0.0009
1,3,0.0035, 0.007, 0.0017, 0.0091
1,4,0.004, 0.008, 0.0034, 0.006
1,5,0.0005, 0.009, 0.0073, 0.0035
1,6,0.0014, 0.0079, 0.0012, 0.0032
1,7,0.0096, 0.0028, 0.0023, 0.0065
1,8,0.0036, 0.0006, 0.0031, 0.0085
1,9,0.006, 0.0005, 0.0092, 0.0087
2,0,0.0067, 0.0046, 0.0096, 0.0002
2,1,0.0017, 0.0015, 0.0093, 0.0057
2,2,0.0093, 0.0029, 0.0018, 0.0098
2,3,0.0018, 0.009, 0.0032, 0.0031
2,4,0.0068, 0.0044, 0.0063, 0.0063
2,5,0.007, 0.0086, 0.0027, 0.0007
2,6,0.009, 0.0058, 0.0093, 0.0052
2,7,0.0063, 0.0086, 0.004, 0.003
2,8,0.0031, 0.0037, 0.0032, 0.0048
2,9,0.005, 0.0024, 0.0005, 0.0042
3,0,0.0051, 0.0021, 0.0041, 0.007
3,1,0.0012, 0.0072, 0.0002, 0.0078
3,2,0.0015, 0.0065, 0.0042, 0.0086
3,3,0.005, 0.007, 0.0093, 0.0041
3,4,0.0029, 0.0085, 0.0093, 0.0091
3,5,0.007, 0.0032, 0.002, 0.0002
3,6,0.0068, 0.0052, 0.0049, 0.0017
3,7,0.0074, 0.0054, 0.006, 0.0027
3,8,0.0075, 0, 0.0097, 0.0086
3,9,0.0072, 0, 0.0065, 0.0088
4,0,0.0063, 0.0007, 0.0073, 0.0014
4,1,0.0077, 0.0065, 0.0053, 0.0005
4,2,0.0052, 0.0046, 0.0094, 0.0021
4,3,0.0078, 0.0015, 0.0024, 0.0045
4,4,0.0065, 0.0073, 0.0063, 0.0041
4,5,0.0026, 0.0024, 0.0068, 0
4,6,0.0022, 0.0064, 0.0086, 0.0095
4,7,0.0062, 0.0051, 0.0082, 0.0026
4,8,0.0058, 0.0054, 0.0038, 0.0034
4,9,0.002, 0.0089, 0.0039, 0.007
5,0,0.0034, 0.0033, 0.0092, 0.0012
5,1,0.0048, 0.0015, 0.0057, 0.0013
5,2,0.0086, 0.0021, 0.0054, 0.0013
5,3,0.0043, 0.0021, 0.0011, 0.0066
5,4,0.0083, 0.0096, 0.006, 0.0046
5,5,0.0046, 0.0041, 0.007, 0.0005
5,6,0.0095, 0.0007, 0.0037, 0.0014
5,7,0.0094, 0.0074, 0.0083, 0.003
5,8,0.0008, 0.0074, 0.0042, 0.0055
5,9,0.0089, 0, 0.0068, 0.0076
6,0,0.002, 0.0021, 0.0087, 0.0063
6,1,0.004, 0.0096, 0.0028, 0.0024
6,2,0.0093, 0.0088, 0.007, 0.004
6,3,0.0028, 0.0039, 0.0043, 0.0022
6,4,0.0046, 0.008, 0.0035, 0.0041
6,5,0.0054, 0.0019, 0.0069, 0.0062
6,6,0.0093, 0.0012, 0.0018, 0.0081
6,7,0.0013, 0.0084, 0.0058, 0.0033
6,8,0.0006, 0.0044, 0.0094, 0.0044
6,9,0.0039, 0.0024, 0.0068, 0.0034
7,0,0.0011, 0.0037, 0.0072, 0.0038
7,1,0.0074, 0.0015, 0.006, 0.0019
7,2,0.0093, 0.0095, 0.0059, 0.0048
7,3,0.0013, 0.0029, 0.0012, 0.0007
7,4,0.0042, 0.0028, 0.0088, 0.0053
7,5,0.0012, 0.0045, 0.0084, 0.0016
7,6,0.0087, 0.0079, 0.0061, 0.0028
7,7,0.0002, 0.003, 0.006, 0.0014
7,8,0.0066, 0.0031, 0.0052, 0.0041
7,9,0.0046, 0.0011, 0.0061, 0.0041
8,0,0.0008, 0.0021, 0.0089, 0.0019
8,1,0.005, 0, 0.0025, 0.009
8,2,0.0027, 0.0014, 0.0044, 0.0039
8,3,0.0058, 0.0029, 0.0055, 0.0044
8,4,0.0008, 0.0017, 0.007, 0.001
8,5,0.0046, 0.0031, 0.0022, 0.0011
8,6,0.0063, 0.0074, 0.0052, 0.001
8,7,0.0086, 0.0012, 0.0049, 0.0092
8,8,0.0031, 0.004, 0.001, 0.0082
8,9,0.004, 0.0035, 0.0071, 0.0065
9,0,0.0048, 0.0017, 0.0005, 0.0007
9,1,0.0044, 0.0059, 0.0049, 0.005
9,2,0.0074, 0.0021, 0.0059, 0.0021
9,3,0.005, 0.0081, 0.003, 0.0012
9,4,0.0057, 0.0083, 0.0021, 0.0042
9,5,0.0093, 0.007, 0.0033, 0.0026
9,6,0.0011, 0.0043, 0.0007, 0.005
9,7,0.0079, 0.0078, 0.0016, 0.0026
9,8,0.0093, 0.002, 0.0033, 0.0037
9,9,0.0079, 0.008, 0.0087, 0.0054
