x,y,beta, gamma, rx, ry
0,0,0.0087, 0.0042, 0.0008, 0.0037
0,1,0.0031, 0.0087, 0.0027, 0.0016
0,2,0.0007, 0.0078, 0.0048, 0.0046
0,3,0.0067, 0.0079, 0.0086, 0.009
0,4,0.0064, 0.0045, 0.0052, 0.0047
1,0,0.0082, 0.0039, 0.0038, 0.009
1,1,0.0046, 0.0043, 0.0072, 0.0075
1,2,0.0026, 0.0009, 0.0066, 0.0012
1,3,0.0049, 0.0075, 0.0049, 0.008
1,4,0.0061, 0.0076, 0.0095, 0.0068
2,0,0.0054, 0.0044, 0.0016, 0.0022
2,1,0.0022, 0.0003, 0.0012, 0.0086
2,2,0.0046, 0.0062, 0.0032, 0.0028
2,3,0.0001, 0.0069, 0.0019, 0.0047
2,4,0.0013, 0.0091, 0.0024, 0.0037
3,0,0.0098, 0.009, 0.0049, 0.0048
3,1,0.0064, 0.0097, 0.0028, 0.0026
3,2,0.0072, 0.0024, 0.0095, 0.0027
3,3,0.0066, 0.001, 0.005, 0.0086
3,4,0.0013, 0.006, 0.0073, 0.0057
4,0,0.0023, 0.0005, 0.0085, 0.0024
4,1,0.0072, 0.0003, 0.0072, 0.0085
4,2,0.0094, 0.0096, 0.0022, 0.0091
4,3,0.0085, 0.0069, 0.0041, 0.0051
4,4,0.0067, 0.0069, 0.0077, 0.0041
