x,y,beta, gamma, rx, ry
0,0,140.729, 73.378, 257.25, 251.224
0,1,138.176, 76.3466, 263.486, 256.551
0,2,138.163, 81.2087, 272.046, 249.967
0,3,139.852, 84.5465, 276.326, 239.269
0,4,139.991, 90.8975, 284.724, 228.306
0,5,141.104, 97.6842, 291.668, 211.423
0,6,141.336, 107.522, 299.689, 191.017
0,7,142.221, 119.018, 304.241, 163.651
0,8,141.607, 127.583, 307.388, 147.368
0,9,140.775, 130.554, 310.208, 143.969
1,0,135.203, 73.271, 258.829, 270.563
1,1,134.004, 77.0554, 265.881, 270.9
1,2,133.865, 82.0186, 274.917, 265.52
1,3,134.72, 86.8068, 282.83, 255.749
1,4,135.594, 92.4761, 290.708, 243.452
1,5,137.916, 98.0781, 295.347, 223.62
1,6,138.764, 107.948, 303.856, 201.216
1,7,140.211, 115.318, 307.432, 180.523
1,8,139.758, 121.767, 311.134, 168.246
1,9,137.846, 130.285, 316.55, 158.215
2,0,128.939, 73.5443, 259.107, 292.991
2,1,128.88, 77.6782, 267.281, 289.147
2,2,129.345, 82.9574, 277.512, 281.927
2,3,129.808, 88.8844, 287.579, 272.644
2,4,130.728, 94.8199, 296.374, 260.302
2,5,132.666, 101.485, 303.812, 240.568
2,6,133.907, 109.704, 311.802, 219.701
2,7,134.549, 117.373, 317.963, 201.662
2,8,134.824, 123.369, 321.323, 187.525
2,9,132.872, 130.048, 327.22, 182.303
3,0,122.205, 74.2607, 257.904, 316.135
3,1,123.372, 77.9604, 265.947, 308.98
3,2,124.38, 83.4267, 277.117, 300.429
3,3,124.909, 90.0382, 289.544, 291.039
3,4,125.454, 96.814, 300.985, 280.024
3,5,127.233, 103.289, 309.894, 262.04
3,6,127.948, 111.038, 318.935, 244.934
3,7,128.987, 118.018, 325.024, 226.633
3,8,128.928, 124.832, 330.698, 212.749
3,9,127.845, 131.31, 336.804, 203.883
4,0,116.272, 73.7724, 252.226, 336.587
4,1,116.8, 78.9333, 263.222, 332.1
4,2,118.869, 84.1182, 275.662, 320.79
4,3,119.62, 91.194, 289.596, 310.915
4,4,120.377, 98.2601, 302.863, 299.615
4,5,121.036, 105.974, 315.091, 285.573
4,6,122.601, 111.69, 322.94, 268.74
4,7,122.491, 121.215, 333.062, 251.131
4,8,123.462, 126.099, 338.406, 236.773
4,9,123.493, 130.943, 342.054, 226.327
5,0,109.1, 75.022, 246.929, 359.924
5,1,111.572, 79.0544, 258.341, 350.534
5,2,113.067, 85.5952, 273.415, 341.559
5,3,114.078, 92.7849, 288.708, 331.807
5,4,114.553, 100.597, 303.259, 321.401
5,5,115.32, 107.655, 316.084, 308.858
5,6,116.076, 115.307, 327.565, 292.9
5,7,117.812, 121.195, 335.368, 273.928
5,8,118.173, 127.218, 342.163, 260.632
5,9,118.711, 128.925, 344.085, 254.523
6,0,102.954, 75.4034, 238.476, 379.134
6,1,105.325, 81.4842, 255.039, 370.825
6,2,107.136, 88.0487, 271.516, 362.104
6,3,108.004, 95.3447, 287.085, 353.611
6,4,107.896, 103.538, 302.836, 346.655
6,5,109.024, 109.367, 314.19, 334.597
6,6,110.276, 115.95, 325.867, 319.169
6,7,111.24, 122.85, 336.397, 303.077
6,8,113.367, 126.38, 342.437, 286.433
6,9,112.769, 131.575, 348.834, 279.113
7,0,98.4181, 80.0938, 240.788, 393.936
7,1,100.031, 85.0817, 254.225, 387.985
7,2,101.611, 92.598, 272.426, 379.428
7,3,102.556, 100.757, 290.446, 370.678
7,4,100.924, 111.947, 309.219, 366.568
7,5,102.717, 114.238, 316.273, 356.73
7,6,104.632, 117.746, 323.979, 343.042
7,7,106.887, 122.737, 334.118, 324.444
7,8,108.274, 127.5, 342.271, 309.438
7,9,107.447, 132.85, 349.255, 303.551
8,0,93.7445, 85.6703, 243.697, 408.947
8,1,95.5169, 88.6656, 253.558, 402.402
8,2,97.6908, 95.2339, 271.433, 392.658
8,3,98.314, 104.142, 290.751, 384.928
8,4,96.9482, 113.61, 306.666, 382.233
8,5,95.8833, 120.866, 318.538, 378.669
8,6,98.4765, 122.407, 325.083, 365.116
8,7,101.774, 124.667, 332.951, 346.086
8,8,103.352, 128.343, 340.687, 332.428
8,9,103.08, 131.916, 345.744, 327.248
9,0,91.6122, 81.1501, 229.53, 413.569
9,1,92.9789, 91.0794, 253.436, 410.156
9,2,94.4611, 98.6934, 272.711, 403.4
9,3,94.3601, 107.124, 289.731, 398.543
9,4,94.1315, 115.574, 306.003, 392.222
9,5,90.6404, 126.454, 319.584, 394.376
9,6,94.1311, 127.829, 328.341, 377.197
9,7,98.2694, 127.573, 333.814, 358.289
9,8,98.5368, 133.097, 342.92, 347.664
9,9,100.426, 135.25, 348.111, 334.472
