x,y,beta, gamma, rx, ry
0,0,140.05, 130.685, 311.737, 147.377
0,1,135.371, 128.141, 321.487, 174.617
0,2,129.399, 128.074, 332.25, 203.41
0,3,122.966, 127.878, 339.753, 235.321
0,4,117.018, 129.028, 344.757, 262.646
0,5,111.758, 129.69, 346.406, 287.748
0,6,106.792, 131.857, 347.617, 308.682
0,7,102.772, 133.844, 348.005, 325.376
1,0,141.129, 118.249, 306.296, 169.902
1,1,137.102, 118.465, 313.313, 187.089
1,2,131.477, 118.553, 322.418, 213.268
1,3,124.345, 118.476, 329.394, 247.457
1,4,117.743, 120.185, 334.361, 276.319
1,5,110.916, 122.692, 336.702, 305.15
1,6,104.543, 127.312, 339.49, 328.168
1,7,99.348, 132.24, 342.429, 345.024
2,0,141.277, 105.244, 298.129, 195.859
2,1,137.096, 106.366, 304.193, 211.586
2,2,131.433, 108.296, 312.525, 233.719
2,3,124.748, 108.469, 317.513, 264.266
2,4,117.824, 111.145, 321.934, 292.026
2,5,109.247, 117.055, 326.904, 322.684
2,6,102.528, 122.62, 330.552, 345.843
2,7,96.2, 130.346, 335.328, 363.414
3,0,141.568, 92.3806, 284.81, 218.932
3,1,138.173, 93.75, 289.254, 230.891
3,2,130.821, 97.1867, 298.992, 256.323
3,3,123.088, 100.613, 306.388, 284.911
3,4,115.397, 105.435, 312.296, 312.195
3,5,106.996, 111.165, 315.59, 341.94
3,6,99.7665, 118.732, 320.449, 364.269
3,7,93.681, 126.725, 325.449, 380.538
4,0,139.723, 83.2722, 273.638, 240.81
4,1,135.796, 85.7519, 279.319, 253.053
4,2,128.621, 89.5795, 287.867, 276.994
4,3,120.287, 94.5154, 294.731, 304.993
4,4,112.251, 99.5178, 298.849, 333.002
4,5,104.34, 105.743, 302.233, 359.522
4,6,98.082, 112.56, 306.448, 378.613
4,7,92.6526, 119.046, 309.445, 394.138
5,0,135.602, 77.3542, 265.5, 263.873
5,1,131.184, 80.5748, 271.136, 277.118
5,2,123.719, 84.2175, 276.178, 301.922
5,3,115.261, 88.0463, 278.954, 331.258
5,4,106.661, 94.2805, 282.141, 359.882
5,5,101.143, 98.9479, 284.3, 377.432
5,6,96.7986, 103.132, 285.831, 391.29
5,7,93.6815, 105.873, 285.687, 401.415
6,0,132.201, 74.1576, 260.125, 280.192
6,1,125.385, 76.657, 262.664, 302.286
6,2,118.39, 78.37, 261.835, 326.128
6,3,110.947, 82.1212, 262.983, 350.823
6,4,104.639, 86.1806, 263.417, 371.328
6,5,98.4788, 90.7606, 263.058, 391.518
6,6,95.6289, 94.7, 266.596, 400.694
6,7,93.1364, 95.476, 263.218, 409.364
7,0,128.242, 72.7651, 257.023, 295.787
7,1,121.569, 72.7894, 253.289, 318.789
7,2,111.754, 74.3477, 246.389, 350.517
7,3,107.927, 77.1346, 249.112, 363.11
7,4,102.653, 78.04, 243.381, 379.601
7,5,99.2299, 82.6661, 248.024, 391.106
7,6,95.2603, 85.7172, 247.057, 403.573
7,7,94.5759, 83.9532, 241.989, 405.388
