x,y,beta, gamma, rx, ry
0,0,142.868, 133.367, 460.453, 81.2331
0,1,143.172, 126.195, 457.923, 101.377
0,2,143.699, 115.673, 450.234, 128.384
0,3,143.989, 102.787, 436.143, 160.691
0,4,143.699, 93.6883, 423.191, 183.458
0,5,142.866, 86.2466, 410.42, 201.789
0,6,142.378, 79.2254, 396.716, 216.318
0,7,140.422, 74.6258, 386.597, 229.809
0,8,135.568, 73.3921, 383.232, 249.122
0,9,129.544, 72.5891, 379.216, 271.67
0,10,122.762, 71.8327, 372.153, 296.423
0,11,116.304, 71.2068, 364.06, 319.047
0,12,110.453, 71.5017, 356.076, 338.159
0,13,104.81, 71.5673, 346.812, 355.455
0,14,99.3693, 71.1257, 335.066, 370.796
1,0,139.734, 131.497, 467.387, 102.328
1,1,141.848, 123.89, 460.12, 114.249
1,2,142.837, 114.845, 451.58, 134.834
1,3,142.941, 105.036, 440.323, 159.471
1,4,141.32, 95.6499, 428.329, 187.931
1,5,140.426, 88.5056, 416.255, 206.533
1,6,139.518, 82.7215, 405.228, 220.811
1,7,137.474, 78.7652, 396.084, 235.072
1,8,133.455, 76.378, 390.187, 253.869
1,9,128.151, 75.5287, 385.726, 274.811
1,10,121.209, 74.6704, 377.55, 300.653
1,11,114.871, 74.1957, 369.569, 323.615
1,12,109.53, 74.2264, 361.847, 341.568
1,13,104.168, 74.3395, 352.889, 358.522
1,14,100.643, 74.486, 346.398, 369.337
2,0,135.717, 132.39, 476.741, 121.183
2,1,139.187, 123.239, 464.771, 128.846
2,2,140.29, 115.714, 456.505, 143.87
2,3,140.475, 106.988, 445.27, 165.039
2,4,139.625, 98.3035, 434.24, 189.225
2,5,138.036, 90.7148, 421.24, 212.213
2,6,136.164, 85.2499, 411.258, 230.756
2,7,134.32, 81.6678, 402.948, 243.522
2,8,130.012, 79.774, 397.129, 263.285
2,9,124.529, 78.7853, 391.684, 286.028
2,10,119.129, 77.2139, 382.771, 307.483
2,11,113.24, 77.4846, 375.299, 328.495
2,12,107.079, 77.3447, 365.009, 349.421
2,13,100.567, 76.7527, 351.171, 370.016
2,14,99.6913, 78.2891, 353.809, 374.268
3,0,134.815, 129.197, 476.85, 135.296
3,1,136.45, 122.672, 468.764, 144.629
3,2,138.257, 114.151, 458.284, 158.018
3,3,137.54, 108.52, 451.101, 175.53
3,4,136.699, 100.077, 438.854, 199.014
3,5,135.255, 93.8146, 429.126, 219.251
3,6,134.045, 88.7761, 419.151, 234.103
3,7,131.052, 84.9916, 410.157, 252.743
3,8,126.701, 82.6093, 402.121, 273.416
3,9,120.971, 80.924, 394.354, 298.105
3,10,115.94, 80.536, 387.55, 317.851
3,11,110.61, 80.79, 380.64, 337.703
3,12,105.475, 81.0964, 372.487, 355.588
3,13,100.758, 81.4535, 363.609, 371.044
3,14,97.1841, 81.2284, 355.93, 382.965
4,0,131.492, 130.072, 483.263, 151.325
4,1,133.752, 122.322, 473.439, 160.22
4,2,134.826, 115.697, 464.652, 171.868
4,3,134.917, 109.135, 455.914, 187.962
4,4,134.316, 101.681, 444.073, 207.679
4,5,132.597, 96.2495, 434.399, 226.779
4,6,130.824, 91.6394, 425.089, 243.468
4,7,128.077, 88.216, 416.485, 260.765
4,8,124.201, 85.4986, 408.234, 280.888
4,9,119.358, 84.2903, 401.144, 301.892
4,10,114.402, 83.9502, 394.336, 322.102
4,11,109.193, 84.2776, 387.343, 341.838
4,12,103.985, 85.0756, 379.874, 360.815
4,13,99.2661, 85.6909, 371.11, 377.046
4,14,95.6674, 85.7476, 363.274, 388.919
5,0,128.768, 131.07, 488.151, 163.652
5,1,130.476, 124.383, 479.927, 172.578
5,2,132.082, 116.525, 468.525, 184.182
5,3,133.242, 108.267, 456.592, 198.577
5,4,131.845, 103.5, 448.604, 215.791
5,5,130.001, 98.1801, 439.669, 235.798
5,6,128.87, 93.113, 428.937, 250.535
5,7,125.535, 90.9311, 422.358, 268.375
5,8,121.552, 89.0746, 414.681, 288.118
5,9,116.826, 87.9378, 407.114, 309.284
5,10,111.888, 87.6765, 399.892, 329.622
5,11,106.508, 88.1242, 392.105, 350.387
5,12,100.968, 89.1397, 383.959, 370.937
5,13,96.1744, 89.8433, 374.916, 387.927
5,14,92.5479, 89.3672, 364.79, 399.846
6,0,126.499, 131.109, 490.629, 176.808
6,1,128.716, 123.686, 481.128, 184.205
6,2,129.864, 116.874, 471.503, 195.406
6,3,130.364, 110.168, 461.584, 208.987
6,4,129.66, 104.783, 452.27, 224.277
6,5,127.699, 99.2242, 441.217, 244.733
6,6,125.624, 95.2634, 432.733, 262.032
6,7,122.526, 93.5108, 426.511, 278.619
6,8,118.84, 91.7591, 419.503, 297.424
6,9,114.578, 91.1913, 413.406, 316.241
6,10,109.866, 91.1717, 406.595, 335.877
6,11,105.113, 91.488, 399.032, 354.485
6,12,100.066, 93.0886, 392.566, 373.201
6,13,95.1978, 94.2678, 384.474, 390.956
6,14,91.6142, 95.8163, 379.304, 403.843
7,0,123.641, 132.806, 494.976, 188.609
7,1,125.931, 127.142, 487.699, 190.848
7,2,127.734, 119.124, 475.536, 201.026
7,3,128.139, 111.132, 463.111, 217.859
7,4,126.903, 105.115, 452.757, 237.307
7,5,124.984, 100.582, 444.061, 255.755
7,6,122.551, 97.9216, 436.93, 272.097
7,7,119.557, 95.8636, 430.63, 289.349
7,8,115.973, 95.3914, 426.029, 306.015
7,9,112.63, 95.3497, 421.274, 320.596
