x,y,beta, gamma, rx, ry
0,0,0.0048, 0.004, 0.0031, 0.005
0,1,0.0015, 0.0053, 0.0028, 0.0013
0,2,0.0085, 0.0088, 0.0007, 0.0068
0,3,0.0043, 0.0048, 0.0064, 0.0083
1,0,0.0018, 0, 0.0052, 0.0002
1,1,0.0017, 0.0019, 0.0012, 0.0083
1,2,0.0039, 0.0096, 0.0005, 0.0071
1,3,0.0058, 0.007, 0.0098, 0.0007
2,0,0.0009, 0.0031, 0.0055, 0.0022
2,1,0.0082, 0.0081, 0.0033, 0.0068
2,2,0.007, 0.0038, 0.0037, 0.0012
2,3,0.0086, 0, 0.0095, 0.0004
3,0,0, 0.0049, 0.0006, 0.0017
3,1,0.0066, 0.0016, 0, 0.0004
3,2,0.0014, 0.0003, 0.0076, 0.0072
3,3,0.0071, 0.0073, 0.0077, 0.008
