x,y,beta, gamma, rx, ry
0,0,130.194, 124.118, 321.291, 208.316
0,1,133.148, 108.405, 308.012, 226.038
0,2,132.932, 90.0621, 286.792, 257.696
0,3,127.802, 83.1083, 276.652, 287.503
1,0,125.798, 121.147, 326.784, 235.252
1,1,125.57, 108.804, 313.229, 258.867
1,2,121.622, 92.4938, 288.839, 298.666
1,3,118.765, 81.2734, 267.152, 321.916
2,0,112.25, 118.207, 327.929, 305.687
2,1,109.867, 108.444, 309.509, 329.603
2,2,107.315, 92.4941, 277.528, 355.092
2,3,104.638, 79.6757, 248.121, 371.047
3,0,102.059, 118.883, 321.868, 351.82
3,1,98.6198, 113.717, 308.204, 373.47
3,2,96.4798, 96.3354, 270.099, 394.312
3,3,96.48, 82.9067, 242.585, 398.914
