x,y,beta, gamma, rx, ry
0,0,0.0028, 0.0088, 0.0047, 0.0031
0,1,0.0038, 0.0069, 0.0039, 0.0056
0,2,0.0041, 0.0074, 0.0013, 0.0026
0,3,0.0012, 0.0096, 0.0047, 0.0022
0,4,0.0002, 0.0008, 0.003, 0.001
0,5,0.0029, 0.0024, 0.0097, 0.0049
0,6,0.0054, 0.0057, 0.0092, 0.0085
0,7,0.0088, 0.0074, 0.0036, 0.0017
0,8,0.0061, 0.0084, 0.0046, 0
0,9,0.0054, 0.0086, 0.0054, 0.0093
1,0,0.0059, 0.0065, 0.0018, 0.0071
1,1,0.0062, 0.0065, 0.0091, 0.0064
1,2,0.0072, 0.0022, 0.0072, 0.0002
1,3,0.0044, 0.0071, 0.0051, 0
1,4,0.0027, 0.0042, 0.0083, 0.0016
1,5,0.0015, 0.002, 0.0031, 0.0074
1,6,0.0005, 0.0078, 0.0072, 0.0057
1,7,0.0063, 0.0027, 0.0051, 0.0021
1,8,0.0092, 0.007, 0.0093, 0.0053
1,9,0.0034, 0.0085, 0.0017, 0.0007
2,0,0.0007, 0.0089, 0.0007, 0.0051
2,1,0.0061, 0.0058, 0.0051, 0.0086
2,2,0, 0.0033, 0.0003, 0.0013
2,3,0.0054, 0.0033, 0.0088, 0.0057
2,4,0.001, 0.0059, 0.0016, 0.0071
2,5,0.0085, 0.0065, 0.0092, 0.0078
2,6,0.0034, 0.0086, 0.0031, 0.0069
2,7,0.0071, 0.0048, 0.0074, 0.0078
2,8,0.0038, 0.0082, 0.003, 0.0098
2,9,0.0039, 0.008, 0.0085, 0.0039
3,0,0.0014, 0.0087, 0.0051, 0.0066
3,1,0.0021, 0.0038, 0.0025, 0.0029
3,2,0.0097, 0.0039, 0.0001, 0.0083
3,3,0.0005, 0.0093, 0.0061, 0.0038
3,4,0.0079, 0.009, 0.0008, 0.0051
3,5,0.0039, 0.0082, 0.0028, 0.0075
3,6,0.0063, 0.0056, 0.0074, 0.0004
3,7,0.0035, 0.0059, 0.0041, 0.0048
3,8,0.0047, 0.0092, 0.0015, 0.0066
3,9,0.0029, 0.0038, 0.0095, 0.0028
4,0,0.0075, 0.0094, 0.001, 0.0079
4,1,0.0088, 0.0069, 0.0018, 0.0068
4,2,0.006, 0.0026, 0.0018, 0.0097
4,3,0.0007, 0.0044, 0.0074, 0.0071
4,4,0, 0.0047, 0.0075, 0.0035
4,5,0.0007, 0.0015, 0.0083, 0.0052
4,6,0.0009, 0.0097, 0.0017, 0.0038
4,7,0.0034, 0.0011, 0.0064, 0.0011
4,8,0.0006, 0.0073, 0.009, 0.0093
4,9,0.0041, 0.0007, 0.006, 0.0001
5,0,0.0033, 0.0077, 0.0098, 0.0038
5,1,0.0022, 0.0073, 0.0008, 0.0022
5,2,0.002, 0.0081, 0.0056, 0.0027
5,3,0.0097, 0.0038, 0.0078, 0.0007
5,4,0.0036, 0.0095, 0.0043, 0.0069
5,5,0.0008, 0.0007, 0.008, 0.0012
5,6,0.0078, 0.0069, 0.0006, 0.002
5,7,0.0076, 0.0067, 0.0021, 0.0008
5,8,0.0045, 0.0021, 0.0044, 0.0065
5,9,0.0092, 0.0053, 0.0086, 0.0013
6,0,0.0035, 0.0043, 0.0039, 0.0033
6,1,0.0081, 0.0018, 0.0038, 0.0017
6,2,0.0012, 0.008, 0.0086, 0.002
6,3,0.0087, 0.0065, 0.0031, 0.0064
6,4,0.0033, 0.0037, 0.0084, 0.0008
6,5,0.0003, 0.0007, 0.0016, 0.0046
6,6,0.0026, 0.0058, 0.0013, 0.0017
6,7,0.0012, 0, 0.0029, 0.0046
6,8,0.0041, 0.0066, 0.0077, 0.0023
6,9,0.0082, 0.0015, 0.004, 0.0094
7,0,0.0095, 0.0025, 0.0014, 0.0081
7,1,0.009, 0.0045, 0.0046, 0.0024
7,2,0.008, 0.0031, 0.0032, 0.0084
7,3,0.0036, 0.0046, 0.0031, 0.006
7,4,0.0004, 0.0042, 0.0076, 0.0016
7,5,0.004, 0.0006, 0.006, 0.0081
7,6,0.007, 0.0039, 0.0006, 0.0053
7,7,0.0054, 0.0044, 0.0048, 0.0048
7,8,0.007, 0.0062, 0.0028, 0.0061
7,9,0.0006, 0.0074, 0.0084, 0.0087
8,0,0.0004, 0.0015, 0.007, 0.0039
8,1,0.006, 0.0002, 0.0097, 0.0064
8,2,0.0043, 0.0074, 0.0078, 0.0083
8,3,0.0078, 0.004, 0.0066, 0.0049
8,4,0.0077, 0.007, 0.0001, 0.003
8,5,0.0015, 0.005, 0.0076, 0.0083
8,6,0.0011, 0.0005, 0.0044, 0.0018
8,7,0.0077, 0.0029, 0.0004, 0.0079
8,8,0.0042, 0.0074, 0.0019, 0.0003
8,9,0.0074, 0.0016, 0.0067, 0.0018
9,0,0.009, 0.0045, 0.0001, 0.0068
9,1,0.0083, 0.0067, 0.0016, 0.0061
9,2,0.0036, 0.0018, 0.0089, 0.0049
9,3,0.0066, 0.0066, 0.0034, 0.0077
9,4,0.0069, 0.0078, 0.0093, 0.0047
9,5,0.0006, 0.0097, 0.0027, 0.0046
9,6,0.0072, 0.0045, 0.005, 0.0048
9,7,0.0061, 0.0016, 0.0066, 0.005
9,8,0.0061, 0.0065, 0.0019, 0.0045
9,9,0.0033, 0.0034, 0.0005, 0.0067
