x,y,beta, gamma, rx, ry
0,0,0.0074, 0.0083, 0.0081, 0.0003
0,1,0.0051, 0.0011, 0.0006, 0.0062
0,2,0.0021, 0.0091, 0.0081, 0.0068
0,3,0.0007, 0.0019, 0.0067, 0.0075
0,4,0.0097, 0.0051, 0.0092, 0.0043
0,5,0.0079, 0.0008, 0.0015, 0.0091
0,6,0.0028, 0.0073, 0.0023, 0.0033
0,7,0.0027, 0.0026, 0.0063, 0.0002
0,8,0.0011, 0.0044, 0.0005, 0.006
0,9,0.0055, 0.0012, 0.0023, 0.0075
0,10,0.0002, 0.0003, 0.0044, 0.0009
0,11,0.0022, 0.001, 0.0082, 0.0021
0,12,0.006, 0.0075, 0.0062, 0.0038
0,13,0.0082, 0.0077, 0.003, 0.0009
0,14,0.0051, 0.0052, 0.0043, 0.0078
1,0,0.0078, 0.0005, 0.0078, 0.0087
1,1,0.0047, 0.0084, 0.0048, 0.0002
1,2,0.0094, 0.0069, 0.0077, 0.0094
1,3,0.0072, 0.002, 0.0004, 0.0093
1,4,0.003, 0.0084, 0.0015, 0.0088
1,5,0.0061, 0.0075, 0.0028, 0.0042
1,6,0.0054, 0.0056, 0.0051, 0.0004
1,7,0.0009, 0.0092, 0.0081, 0.0086
1,8,0.0096, 0.006, 0.0074, 0.0044
1,9,0.0043, 0.0022, 0.0044, 0.0036
1,10,0.0089, 0.0022, 0.0031, 0.0061
1,11,0.0042, 0.0033, 0.0055, 0.0071
1,12,0.0019, 0.0068, 0.006, 0.0078
1,13,0.0044, 0.0088, 0.0021, 0.0096
1,14,0.0044, 0.007, 0, 0.0053
2,0,0.0062, 0.0081, 0.004, 0.0059
2,1,0.0042, 0.0014, 0.0002, 0.0084
2,2,0.0034, 0.0047, 0.0021, 0.0024
2,3,0.0067, 0.0053, 0.0083, 0.0011
2,4,0.0086, 0.0039, 0.008, 0.0004
2,5,0.0008, 0.0039, 0.0082, 0.0051
2,6,0.0027, 0.0004, 0.0048, 0.0071
2,7,0.0073, 0.0048, 0.0025, 0.0036
2,8,0.0028, 0.0064, 0.0093, 0.0069
2,9,0.0076, 0.0093, 0.0054, 0.0009
2,10,0.0041, 0.0073, 0.0031, 0.0008
2,11,0.0027, 0.0016, 0.0017, 0.0013
2,12,0.0055, 0.0097, 0.0017, 0.0062
2,13,0.0037, 0.0001, 0.0014, 0.0064
2,14,0.0003, 0.006, 0.0036, 0.0076
3,0,0.0008, 0.006, 0.0011, 0.0036
3,1,0.0023, 0.0005, 0.0006, 0
3,2,0, 0.0058, 0.0009, 0.0039
3,3,0.0033, 0.0038, 0.0047, 0.0058
3,4,0.0054, 0.0062, 0.0069, 0.0009
3,5,0.006, 0.0087, 0.0071, 0.0096
3,6,0.0086, 0.0083, 0.0059, 0.0087
3,7,0.0044, 0.0094, 0.0063, 0.0052
3,8,0.0055, 0.0074, 0.0087, 0.0078
3,9,0.008, 0.0091, 0.0076, 0.0078
3,10,0.0051, 0.0083, 0.0016, 0.0082
3,11,0.0022, 0.0062, 0.0041, 0.0077
3,12,0.0025, 0.0012, 0.0084, 0.0084
3,13,0.0097, 0.0056, 0.0081, 0.0082
3,14,0.0038, 0.0039, 0.007, 0.0082
4,0,0.0034, 0.0032, 0.0036, 0.0089
4,1,0.0008, 0.0022, 0.0066, 0.0086
4,2,0.0014, 0.0043, 0.0063, 0.0065
4,3,0.0027, 0.0079, 0.0048, 0.005
4,4,0.0042, 0.0088, 0.0026, 0.0066
4,5,0.0001, 0.0009, 0.0051, 0.0096
4,6,0.0065, 0.0031, 0.0079, 0.0004
4,7,0.007, 0.0048, 0.0084, 0.0006
4,8,0.0081, 0.0019, 0.0093, 0.0087
4,9,0.0041, 0.0061, 0.0074, 0.0056
4,10,0.0003, 0.0038, 0.002, 0.0029
4,11,0.0018, 0.0067, 0.0077, 0.0059
4,12,0.0056, 0.0004, 0.0026, 0.0055
4,13,0.0013, 0.0077, 0.0052, 0.0076
4,14,0.0007, 0.003, 0.0078, 0.0077
5,0,0.0076, 0.0061, 0.0081, 0.0058
5,1,0.0081, 0.0076, 0.0046, 0.0023
5,2,0.0036, 0.0019, 0.0077, 0.0037
5,3,0.0057, 0.0096, 0.0066, 0.0074
5,4,0.0064, 0.0044, 0.0034, 0.0021
5,5,0.0046, 0.0058, 0.0074, 0.0059
5,6,0.0034, 0.0027, 0.0034, 0.0041
5,7,0.0055, 0.0011, 0.0019, 0.0032
5,8,0.0073, 0, 0.0091, 0.0055
5,9,0.0074, 0.0036, 0.0076, 0.0011
5,10,0.0056, 0.0053, 0.0046, 0.0012
5,11,0.005, 0.0014, 0.0086, 0.0015
5,12,0.0058, 0.0019, 0.0034, 0.0006
5,13,0.0077, 0.0009, 0.0063, 0.0012
5,14,0.0034, 0.0096, 0.0051, 0.0089
6,0,0.0008, 0.0071, 0.0022, 0.0081
6,1,0.0069, 0.0012, 0.0035, 0.0044
6,2,0.0047, 0.0011, 0.0053, 0.0004
6,3,0.0062, 0, 0.0014, 0.0013
6,4,0.0014, 0.0002, 0.0026, 0.0071
6,5,0.0019, 0.006, 0.0077, 0.0095
6,6,0.0067, 0.0039, 0.0008, 0.0002
6,7,0.0036, 0.0058, 0.0089, 0.0045
6,8,0.003, 0.0012, 0.0025, 0.0097
6,9,0.0023, 0.0059, 0.0042, 0.007
6,10,0.007, 0.0095, 0.0072, 0.0031
6,11,0.0093, 0.0086, 0.0044, 0.0009
6,12,0.0086, 0.0068, 0.008, 0.0007
6,13,0.0029, 0.0056, 0.0001, 0.0094
6,14,0.0095, 0.0007, 0.0094, 0.0033
7,0,0.0065, 0.0084, 0.0076, 0.0095
7,1,0.0096, 0.0002, 0.0091, 0.0018
7,2,0.0061, 0.0034, 0.0088, 0.003
7,3,0.0028, 0.0061, 0.0061, 0.0023
7,4,0.0047, 0.0004, 0.0032, 0.0034
7,5,0.0072, 0.0011, 0.0039, 0
7,6,0.0065, 0.004, 0.0092, 0.0061
7,7,0.0048, 0.0087, 0.0092, 0.0014
7,8,0.0072, 0.0067, 0.0009, 0.0068
7,9,0.007, 0.0001, 0.0086, 0.003
7,10,0.0034, 0.0076, 0.0059, 0.0062
7,11,0.0036, 0.0019, 0.0085, 0.0081
7,12,0.0022, 0.0016, 0.0015, 0.0094
7,13,0.0025, 0.0054, 0.0093, 0.009
7,14,0.0093, 0.0086, 0.0051, 0.004
8,0,0.0075, 0.0042, 0.0052, 0.0048
8,1,0.0011, 0.0059, 0.0017, 0.0079
8,2,0.0059, 0.0005, 0.0008, 0.0093
8,3,0.0079, 0.0067, 0.0054, 0.0014
8,4,0.0085, 0.0039, 0.0096, 0.0008
8,5,0.0055, 0.0012, 0.0003, 0.0079
8,6,0.0064, 0.0094, 0.0068, 0.0056
8,7,0.0082, 0.002, 0.0096, 0.0058
8,8,0.0061, 0.0048, 0.0005, 0.0072
8,9,0.0008, 0.0023, 0.005, 0.0065
8,10,0.0026, 0.0058, 0.0057, 0.0004
8,11,0.0027, 0.0013, 0.0016, 0.0013
8,12,0.0052, 0.0013, 0.0019, 0.0006
8,13,0.0023, 0.0022, 0.0085, 0.0088
8,14,0.0016, 0.0053, 0.0043, 0.0098
9,0,0.0073, 0.0041, 0.0055, 0.0033
9,1,0.0087, 0.006, 0.0004, 0.0095
9,2,0.0081, 0.0054, 0.006, 0.0006
9,3,0.0014, 0.0018, 0.001, 0.0039
9,4,0.0031, 0.0025, 0.005, 0.0081
9,5,0.0038, 0.0069, 0.0088, 0.006
9,6,0.0089, 0.0072, 0.0047, 0.0006
9,7,0.0026, 0.009, 0.0005, 0.0098
9,8,0.0032, 0.006, 0.0032, 0.0018
9,9,0.002, 0.0035, 0.0015, 0.0002
9,10,0.0089, 0.0075, 0.0009, 0.0002
9,11,0.0091, 0.0017, 0.0041, 0.0024
9,12,0.0042, 0.0091, 0.0006, 0.0079
9,13,0.0059, 0.0092, 0.004, 0.005
9,14,0.0066, 0.0087, 0.0054, 0.009
10,0,0.0076, 0.006, 0.0089, 0.0008
10,1,0.0019, 0.0021, 0.0026, 0.0037
10,2,0.0054, 0.0039, 0.004, 0.0044
10,3,0.0013, 0.0047, 0.0045, 0.0006
10,4,0.0062, 0.0086, 0.003, 0.0006
10,5,0.0077, 0.0034, 0.0083, 0.0037
10,6,0.0028, 0.0022, 0.0085, 0.0092
10,7,0.0008, 0.0041, 0.0083, 0.0084
10,8,0, 0.0072, 0.0092, 0.0017
10,9,0.0091, 0.002, 0.0055, 0.0046
10,10,0.0059, 0.0093, 0.0088, 0.0071
10,11,0.0041, 0.0034, 0.0077, 0.0004
10,12,0.0022, 0.0008, 0.0008, 0.0097
10,13,0.004, 0.0089, 0.0033, 0.0068
10,14,0.001, 0.0018, 0.0059, 0.0018
11,0,0.0057, 0.0044, 0.0004, 0.0057
11,1,0.0015, 0.0094, 0.0072, 0.0007
11,2,0.0013, 0.0028, 0.0051, 0.0071
11,3,0.002, 0.004, 0.0043, 0.0059
11,4,0.0075, 0.0021, 0.0062, 0.0095
11,5,0.0027, 0.007, 0.0093, 0.0067
11,6,0.0059, 0.0025, 0.0037, 0.0069
11,7,0.0043, 0.0096, 0.0088, 0.0001
11,8,0.0039, 0.009, 0.0056, 0.0052
11,9,0.0083, 0.003, 0.0059, 0.0097
11,10,0.0056, 0.0011, 0.0069, 0.0077
11,11,0.005, 0.0013, 0.0035, 0.0026
11,12,0.0034, 0.0097, 0.002, 0.0061
11,13,0.0067, 0.0014, 0.0029, 0.0027
11,14,0.0037, 0.0064, 0.0094, 0.0081
12,0,0.006, 0.0081, 0.008, 0.0097
12,1,0.007, 0.0036, 0.0051, 0.0055
12,2,0.0066, 0.0009, 0.0053, 0.0021
12,3,0.0019, 0.0021, 0.0096, 0.0069
12,4,0.0034, 0.0033, 0.0093, 0.0066
12,5,0.0031, 0.0014, 0.0026, 0.0098
12,6,0.0026, 0.0053, 0.0024, 0.0063
12,7,0.0017, 0.002, 0.0043, 0.0077
12,8,0.0002, 0.0023, 0.0073, 0.0073
12,9,0.0059, 0.0025, 0.0029, 0.0024
12,10,0.0035, 0.008, 0.0045, 0.0052
12,11,0.0002, 0.0041, 0.0022, 0.0034
12,12,0.0074, 0.0016, 0.0001, 0.0004
12,13,0.003, 0.0025, 0.0004, 0.0054
12,14,0.0078, 0.0026, 0.0018, 0.0095
13,0,0.0046, 0.006, 0.0071, 0.0049
13,1,0.0083, 0.0046, 0.0021, 0.0043
13,2,0.0071, 0.0048, 0.0067, 0.0005
13,3,0.0029, 0.0011, 0.0057, 0.0029
13,4,0.0052, 0.0077, 0.0063, 0.0027
13,5,0.0093, 0.0062, 0.003, 0.0022
13,6,0.0087, 0.0032, 0.0076, 0.0066
13,7,0.0058, 0.0093, 0.0061, 0.0006
13,8,0.0054, 0.0033, 0.0053, 0.0038
13,9,0.0079, 0.0074, 0.0081, 0.005
13,10,0.0021, 0.0047, 0.0055, 0.0048
13,11,0.0058, 0.0012, 0.0077, 0.0012
